Month,U.S.,Alaska,Arkansas,Kansas,Other States,Federal Offshore--Gulf of Mexico,Wyoming,West Virginia,Utah,Pennsylvania,Texas,Oklahoma,Ohio,North Dakota,New Mexico,Montana,Louisiana,Colorado,California
2011-10-01,80722,8824,3141,838,3042,4616,6674,1180,1287,4757,22207,5335,220,515,3548,211,8877,4736,714
2011-11-01,82532,10087,3153,833,3124,4614,6822,1171,1293,4757,22376,5355,227,534,3506,208,9055,4671,744
2011-12-01,82056,9979,3238,804,3220,4628,6578,1214,1262,4757,22244,5372,230,552,3448,206,8908,4683,732
2012-01-01,82947,10262,3091,807,3255,4558,6607,1337,1288,5504,21981,5358,231,572,3551,202,8581,5076,685
2012-02-01,81381,9980,2953,805,3286,4502,6410,1355,1338,5504,21890,5315,231,587,3553,202,8140,4632,697
2012-03-01,81428,9939,3091,811,3158,4606,6424,1320,1341,5504,21902,5305,231,620,3513,198,8102,4740,623
2012-04-01,80583,9127,3125,809,3113,4458,6282,1348,1339,5504,22160,5431,231,641,3480,195,7994,4685,663
2012-05-01,80345,9072,3094,814,2925,4216,6190,1431,1348,5504,22161,5529,231,678,3481,184,8068,4729,691
2012-06-01,79226,8384,3097,819,2880,3934,6136,1430,1363,5504,22124,5474,231,701,3407,167,8309,4596,671
2012-07-01,79518,6637,3089,812,3031,4134,6011,1418,1370,6821,22379,5540,231,719,3502,172,8364,4617,670
2012-08-01,76579,4023,3173,808,3039,3560,5960,1523,1353,6821,22583,5619,231,762,3488,176,8210,4564,687
2012-09-01,80346,7666,3202,807,3070,3705,5924,1537,1375,6821,22584,5637,231,797,3459,179,8075,4612,666
2012-10-01,82488,9341,3212,812,3127,4104,5743,1654,1375,6821,22519,5674,231,798,3573,174,7961,4665,705
2012-11-01,82379,9604,3235,812,3083,4188,5828,1682,1318,6821,22462,5776,231,781,3488,176,7644,4596,655
2012-12-01,81412,9821,3209,798,3078,4137,5473,1659,1271,6821,22244,5679,231,817,3351,172,7447,4525,679
2013-01-01,81033,9846,3153,790,1943,4012,5715,1643,1228,8217,22106,5436,273,792,3135,170,7407,4494,676
2013-02-01,81068,9609,3090,784,1934,3921,5801,1641,1295,8217,22411,5193,273,835,3364,170,7324,4514,693
2013-03-01,80774,9473,3072,787,1872,3810,5816,1712,1297,8217,22552,5213,273,846,3412,171,7080,4475,696
2013-04-01,81544,9401,3098,795,1893,3862,5846,1800,1320,8217,22716,5607,346,861,3512,172,6896,4498,703
2013-05-01,80280,8420,3125,798,1902,3693,5596,1968,1301,8217,22922,5527,346,900,3450,174,6810,4438,692
2013-06-01,79513,7810,3122,795,1880,3476,5746,2125,1295,8217,23006,5411,346,933,3484,182,6663,4324,697
2013-07-01,81046,7804,3112,804,1871,3549,5565,2151,1299,9629,23017,5455,546,972,3501,179,6495,4397,701
2013-08-01,80487,7461,3138,864,1878,3357,5529,2227,1320,9629,23057,5467,546,1008,3527,176,6208,4393,703
2013-09-01,80480,8251,3122,814,1859,3624,5168,2216,1324,9629,23010,5484,546,1066,3454,174,5903,4134,700
2013-10-01,81070,8431,3172,816,1877,3294,5613,2191,1307,9629,23018,5489,649,1072,3519,178,5672,4461,680
2013-11-01,81839,9335,3172,795,1871,3603,5600,2355,1285,9629,22682,5386,649,1085,3371,172,5697,4470,682
2013-12-01,81483,9935,3090,771,1877,3446,5343,2334,1211,9629,22347,5856,649,992,3281,160,5718,4171,673
2014-01-01,83226,9882,3060,768,1746,3300,5523,2384,1253,11233,22458,5469,911,1015,3367,164,5620,4374,696
2014-02-01,84178,9653,3099,749,1755,3414,5534,2559,1270,11233,22534,6146,911,1064,3404,162,5623,4372,694
2014-03-01,84642,9645,3114,767,1746,3401,5556,2648,1277,11233,23059,5845,911,1090,3471,163,5597,4454,667
2014-04-01,86129,9240,3113,779,1663,3545,5424,2641,1286,11233,23560,7028,1138,1139,3484,164,5502,4522,667
2014-05-01,84944,8466,3121,786,1762,3596,5434,2720,1274,11233,23790,6098,1138,1195,3403,165,5554,4545,663
2014-06-01,85334,8415,3067,784,1728,3580,5472,2787,1276,11233,23938,6328,1138,1254,3473,166,5559,4496,638
2014-07-01,84811,6296,3080,792,1728,3547,5438,2987,1260,12089,24010,6636,1595,1294,3500,163,5327,4432,636
2014-08-01,85321,6140,3045,798,1736,3575,5316,3083,1245,12089,24204,6981,1595,1349,3545,162,5210,4610,638
2014-09-01,87517,8662,3070,806,1739,3551,5510,3229,1225,12089,23983,6505,1595,1423,3474,159,5349,4516,631
2014-10-01,88249,8757,3046,807,1733,3572,5541,3276,1201,12089,24171,6547,1957,1437,3473,159,5237,4608,640
2014-11-01,88731,9412,3083,797,1702,3393,5491,3267,1196,12089,24210,6554,1957,1438,3529,155,5268,4546,646
2014-12-01,89357,9730,3019,782,1723,3463,5470,3474,1183,12089,24681,6506,1957,1516,3508,165,4900,4546,645
2015-01-01,90002,9417,2907,877,1717,3474,5744,3557,1196,13162,23923,6672,2183,1476,3333,162,4953,4544,707
2015-02-01,90018,9089,2794,872,1711,3406,5397,3539,1213,13244,24353,6669,2183,1480,3499,163,5060,4628,715
2015-03-01,91210,9677,2868,859,1675,3126,5500,3673,1265,13328,24470,6970,2183,1527,3549,162,5077,4615,687
2015-04-01,91958,9490,2909,774,1668,3613,5576,3711,1254,13092,24578,6999,2580,1534,3594,162,5114,4622,687
2015-05-01,90027,8431,2884,768,1664,3638,5397,3822,1227,12624,24346,6924,2580,1625,3614,162,5065,4574,684
2015-06-01,88672,7434,2804,765,1695,3558,5472,3730,1207,12562,24284,7036,2580,1655,3592,161,4863,4622,652
2015-07-01,88910,7140,2751,756,1673,3809,5401,3600,1166,12961,24331,7028,2832,1658,3542,162,4910,4569,620
2015-08-01,88540,6583,2700,758,1675,3887,5420,3701,1054,13218,24176,6888,2832,1644,3647,158,4893,4678,628
2015-09-01,90715,8705,2708,750,1671,3913,5440,3723,1022,13270,24186,6810,2832,1604,3691,157,5004,4616,613
2015-10-01,90519,9014,2677,744,1664,3616,5441,3495,1005,13137,23857,6753,3428,1657,3652,159,4903,4719,598
2015-11-01,90874,9659,2633,724,1646,3413,5463,3249,1016,13645,23652,6717,3428,1678,3626,156,4869,4701,600
2015-12-01,90713,9808,2586,702,1643,3526,5364,3436,1092,13993,23174,6700,3428,1673,3299,152,4910,4633,595
2016-01-01,91240,9639,2503,693,1612,3423,5266,3686,1087,14546,22868,6903,3761,1642,3293,149,4922,4658,588
2016-02-01,91591,9424,2471,689,1631,3389,5207,3727,1061,14962,22940,6940,3761,1692,3390,149,4968,4609,580
2016-03-01,91227,9524,2395,690,1621,3496,5290,3622,1063,14590,22879,6921,3761,1713,3535,148,4801,4607,571
2016-04-01,89354,8204,2350,677,1574,3297,5189,3694,1048,14469,22733,6784,3815,1631,3536,147,5021,4638,545
2016-05-01,89893,8684,2308,674,1578,3479,4953,3708,1022,14889,22627,6833,3815,1645,3511,145,4770,4666,584
2016-06-01,87871,7794,2236,658,1539,3169,5083,3476,989,14634,22639,6736,3815,1666,3519,142,4656,4560,560
2016-07-01,88080,7724,2194,662,1545,3247,4640,3846,978,14450,22447,6794,4066,1699,3533,141,4947,4604,563
2016-08-01,87927,8075,2160,655,1534,3336,4694,3845,976,14238,22293,6813,4066,1640,3599,133,4600,4710,559
2016-09-01,87670,8309,2133,693,1537,3164,5060,3831,960,14077,21755,6740,4066,1613,3603,139,4759,4673,558
2016-10-01,87686,8772,2120,640,1522,3290,5163,3811,940,13730,21575,6652,4091,1720,3548,140,4722,4706,545
2016-11-01,89087,9799,2094,615,1533,3306,5090,3869,925,14656,21281,6512,4091,1762,3568,142,4591,4713,540
2016-12-01,88459,9952,2035,638,1496,3394,4978,3962,909,14984,20676,6304,4091,1541,3485,135,4702,4647,530
2017-01-01,87966,9726,2003,621,1504,3327,4556,4000,894,14893,20725,6256,4275,1565,3389,131,4933,4614,557
2017-02-01,89419,9823,2014,627,1492,3276,4644,4013,894,14983,21206,6399,4367,1714,3482,133,5157,4648,547
2017-03-01,89603,9939,1997,620,1479,3327,4668,4085,893,14827,20933,6710,4233,1749,3517,131,5351,4598,545
2017-04-01,89389,9565,1998,608,1466,3037,4705,4057,884,14921,21096,6779,4363,1847,3597,132,5238,4545,554
2017-05-01,89347,9248,1972,597,1463,3111,4558,4257,882,14766,21478,6706,4348,1861,3632,133,5310,4466,558
2017-06-01,89387,8294,1950,612,1440,2964,4710,4337,871,14772,21667,6790,4642,1856,3623,133,5685,4479,562
2017-07-01,88713,6636,1900,609,1365,3091,4661,4390,846,14746,22004,6871,5040,1888,3625,133,5822,4520,568
2017-08-01,89166,7148,1888,599,1412,2900,4691,4632,845,14525,21544,7040,5169,1933,3610,134,5917,4623,556
2017-09-01,91914,8512,1865,602,1386,2875,4734,4648,841,14809,21883,7055,5359,1930,3756,130,6304,4672,553
2017-10-01,93169,9135,1851,589,1363,2544,4741,4654,829,14504,22431,7304,5464,2052,3844,130,6436,4750,548
2017-11-01,95847,9420,1820,587,1367,2658,4835,4766,823,15705,22693,7334,5603,2095,3954,128,6762,4748,547
2017-12-01,96810,9523,1792,576,1332,2482,4907,4770,810,16193,22654,7372,5839,2087,3881,129,7032,4883,547
2018-01-01,95418,9573,1670,564,1325,2531,4860,4569,826,16136,22030,7332,5911,2072,3662,127,6815,4873,543
2018-02-01,97225,9593,1665,565,1350,2634,4809,4652,825,16482,22409,7513,6110,2095,3791,124,7173,4886,549
2018-03-01,98278,9542,1646,568,1391,2667,4854,4725,842,16280,22751,7763,6161,2114,3976,122,7448,4882,545
2018-04-01,98618,9424,1712,569,1350,2476,4839,4607,837,16368,23097,7836,6134,2245,4037,125,7471,4947,544
2018-05-01,99091,9121,1661,568,1348,2496,4740,4820,819,16094,23601,7867,6188,2333,4008,122,7763,4995,547
2018-06-01,98428,7634,1637,538,1365,2604,4594,4800,821,16451,23964,8062,6187,2301,4181,119,7796,4827,548
